res;kingdom;phylum
-0,613306604886764;Animalia;Chordata
3,18337326633827;Animalia;Chordata
2,8731381639475;Animalia;Chordata
0,361175027088382;Animalia;Chordata
3,54700694822364;Animalia;Chordata
4,58214037992966;Animalia;Chordata
0,125880226000751;Animalia;Chordata
3,70883975410995;Animalia;Chordata
2,15845416038423;Animalia;Chordata
2,17878248852088;Animalia;Chordata
2,44363195456226;Animalia;Chordata
2,34608565158074;Animalia;Chordata
1,94957793190902;Animalia;Chordata
3,58497759846645;Animalia;Chordata
2,3220306899202;Animalia;Chordata
3,47431362162913;Animalia;Chordata
2,96553469086638;Animalia;Chordata
8,49423825349071;Animalia;Chordata
2,98699629349846;Animalia;Chordata
2,90618365375863;Animalia;Chordata
-0,136881334867798;Animalia;Chordata
2,3027745350472;Animalia;Chordata
4,18543864577368;Animalia;Chordata
1,73727840857587;Animalia;Chordata
4,38003172956646;Animalia;Chordata
4,7537515446181;Animalia;Chordata
5,78147779649343;Animalia;Chordata
0,222717770780751;Animalia;Chordata
-0,334743806137171;Animalia;Chordata
0,841897252818271;Animalia;Chordata
1,87637138469903;Animalia;Chordata
2,82606555710869;Animalia;Chordata
0,835730628224384;Animalia;Chordata
3,74062391508582;Animalia;Chordata
2,86273927728803;Animalia;Chordata
4,31779741321749;Animalia;Chordata
2,35208537233435;Animalia;Chordata
4,01044025875205;Animalia;Chordata
2,13060623679036;Animalia;Chordata
2,16200122029186;Animalia;Chordata
2,35502985124199;Animalia;Chordata
4,18410596678663;Animalia;Chordata
1,30094344364219;Animalia;Chordata
1,02530504325207;Animalia;Chordata
3,96013778678678;Animalia;Chordata
2,46126222556019;Animalia;Chordata
2,69170226478663;Animalia;Chordata
0,927829628768361;Animalia;Chordata
3,21585279161218;Animalia;Chordata
-0,0102380323724454;Animalia;Chordata
5,58232923064251;Animalia;Chordata
3,21689599805682;Animalia;Chordata
2,40453401530064;Animalia;Chordata
1,52653770808385;Animalia;Chordata
3,49185895443974;Animalia;Chordata
2,01418130910506;Animalia;Chordata
2,96233160981161;Animalia;Chordata
1,63321934659059;Animalia;Chordata
0,303648100228694;Animalia;Chordata
